kecamatan,nama_taman,luas,type
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 2,58.5,city_park
KIARACONDONG,TAMAN 2,58.17,city_park
KIARACONDONG,TAMAN 1,56.17,city_park
KIARACONDONG,TAMAN 3,54.4,city_park
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 1,48.8,city_park
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 4,32.9,city_park
KIARACONDONG,TAMAN 4,23.87,city_park
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 5,18.99,city_park
LENGKONG,TAMAN HALAMAN PENDOPO,11000,city_park
LENGKONG,TAMAN MALABAR,5007.68,city_park
LENGKONG,TAMAN KANGKUNG KIDUL/KALER,4848,city_park
LENGKONG,TAMAN LAPANGAN LEMBU,3412,city_park
LENGKONG,JALUR HIJAU PELAJAR PEJUANG '45,3410,city_park
LENGKONG,TAMAN PALASARI/MALABAR,2784,city_park
LENGKONG,LAPANG SARON,2350,city_park
LENGKONG,TAMAN SRIGALA,2336,city_park
LENGKONG,TAMAN LAPANGAN KIDANG DALAM,2240,city_park
LENGKONG,JALUR HIJAU LASWI,2240,city_park
LENGKONG,TAMAN BURANGRANG BPI,1734,city_park
LENGKONG,TAMAN SIMPHONY,1733.7,city_park
LENGKONG,TAMAN NILEM,1725,city_park
LENGKONG,TAMAN MACAN,1712,city_park
LENGKONG,TAMAN KLININGAN,1640,city_park
LENGKONG,TAMAN DURMA,1581,city_park
LENGKONG,TAMAN LAPANGAN TERONG,1350,city_park
LENGKONG,TAMAN PUTRI,960,city_park
LENGKONG,TAMAN BURANGRANG/WAYANG,841,city_park
LENGKONG,TAMAN KARAPITAN UNLA,767.2,city_park
LENGKONG,TAMAN TANK BAJA GATOT SUBROTO,722,city_park
LENGKONG,LAPANGAN IMPUN,633.5,city_park
LENGKONG,TAMAN PALASARI/LODAYA I,590.5,city_park
LENGKONG,BAK BUNGA CEREMAI,441,city_park
LENGKONG,TAMAN TAWES,418.7,city_park
LENGKONG,TAMAN PALASARI/LODAYA II,418,city_park
LENGKONG,TAMAN TURANGGA,328,city_park
LENGKONG,TAMAN DELEG,312.5,city_park
LENGKONG,TAMAN GALUNGGUNG,288,city_park
LENGKONG,TAMAN BURANGRANG/EMONG,280.6,city_park
LENGKONG,TAMAN WINDU,264,city_park
LENGKONG,TAMAN TUGU SIMPANG LIMA,239.62,city_park
LENGKONG,TAMAN LAUK EMAS,232,city_park
LENGKONG,JALUR HIJAU SADAKELING,226.5,city_park
LENGKONG,TAMAN TAMPOMAS,210,city_park
LENGKONG,TAMAN PALASARI / BANTENG I,209.3,city_park
LENGKONG,PULAU JALAN BUAH BATU/BKR,198,city_park
LENGKONG,TAMAN GURAME,197.5,city_park
LENGKONG,PULAU JALAN MARTANEGARA/PELAJAR PEJUANG,128.4,city_park
LENGKONG,TAMAN PULAU JALAN CIKAWAO/LENGKONG,60,city_park
LENGKONG,TAMAN PALASARI / BANTENG II,57.2,city_park
MANDALAJATI,TAMAN EKS TPA PASIR IMPUN,44600,city_park
