nama,alamat,kecamatan,google_rating,price_range_rupiah,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),jumlah_mall,jumlah_minimarket,jumlah_taman,rating_category,kategori_resto,jumlah_ulasan,kategori_resto_encoded,price_range_encoded,dataset_version,training_date,success_category,composite_score
FARM TO TABLE,JL. CULAN NO.9,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,73,8,2.0,enriched_v1.0,2025-07-09,High,0.7020554156171284
BIJAN RESTORAN NUSANTARA,JL. JAWA NO.54,sumur bandung,4.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,192,8,2.0,enriched_v1.0,2025-07-09,High,0.6881523929471033
PAGI SORE BANDUNG,JL. SUMATERA NO.31,sumur bandung,4.1,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,3897,8,2.0,enriched_v1.0,2025-07-09,High,0.6601423173803525
NASI TIMBEL BAWEAN,JL. BAWEAN NO.3,sumur bandung,4.5,Rp 15.000 - 50.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Local Food,975,7,2.0,enriched_v1.0,2025-07-09,Medium,0.6418198992443325
BAWEAN RESTO,JL. GANDAPURA NO.43,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,72,8,2.0,enriched_v1.0,2025-07-09,Low,0.6145251889168765
KAMPUNG MUARA SUNDA BANDUNG,JL. SUMBAWA NO.10 - 12,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,3169,8,2.0,enriched_v1.0,2025-07-09,High,0.6906372795969773
POINT COFFEE,JL. JAWA NO.38MERDEKAKEC,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,79,1,2.0,enriched_v1.0,2025-07-09,High,0.7022367758186397
KOPI MOYAN,JL. ANGGREK NO.30,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Cafe,413,1,2.0,enriched_v1.0,2025-07-09,Medium,0.6248324937027707
HAFA WAREHOUSE,JL. GUDANG SELATAN NO.88,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,92,8,2.0,enriched_v1.0,2025-07-09,Low,0.6151297229219143
TOKO AKARASA,JL. ANGGREK NO.27,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,174,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6526083123425692
HAMPTON COFFEE & EATERY,JL. ACEH NO.64,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Cafe,122,1,2.0,enriched_v1.0,2025-07-09,Low,0.616036523929471
VAPORID PEJUANG,JL. ACEH NO.66,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,283,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6559030226700252
KALUARGI JAWA,JL. JAWA NO.36A,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,126,8,2.0,enriched_v1.0,2025-07-09,High,0.6686574307304786
KUNASI INDONESIA,JL. GANDAPURA NO.61,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Local Food,281,7,2.0,enriched_v1.0,2025-07-09,Medium,0.6558425692695213
EATBOSS MANGGALA,JL. ACEH NO.66,sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,2294,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6291889168765743
KEDAIFAVORITE,"NO., JL. L. L. R.E. MARTADINATA NO.162",sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,158,8,2.0,enriched_v1.0,2025-07-09,Low,0.6121058172140108
PIZZA HUT RESTAURANT,JL. GANDAPURA NO.126,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Fast Food,244,4,2.0,enriched_v1.0,2025-07-09,Medium,0.6372241813602014
HAKATA IKKOUSHA,LLRE MARTADINATA ST NO.172,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,190,8,2.0,enriched_v1.0,2025-07-09,Low,0.6180919395465995
AMITY COFFEE & SPACE,JL. GANDAPURA NO.55,sumur bandung,4.5,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Cafe,260,1,2.0,enriched_v1.0,2025-07-09,Medium,0.6202078085642316
STEAMBOAT AYUTTHAYA,JL. GUDANG SELATAN NO.45,sumur bandung,1.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Low (≤3.5),Restaurant,334,8,2.0,enriched_v1.0,2025-07-09,Low,0.0099445843828715
RAMENS @GUDANG SELATAN,JL. GUDANG SELATAN NO.22,sumur bandung,4.1,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Japanese Food,282,5,2.0,enriched_v1.0,2025-07-09,Low,0.5508727959697731
RESTORAN SEDERHANA RIAU,LLRE MARTADINATA ST NO.128,sumur bandung,4.3,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,112,8,2.0,enriched_v1.0,2025-07-09,Low,0.580734256926952
MAMAYU MIE BAKSO,"NO 60KB, JL. SUNDA",sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,48,8,2.0,enriched_v1.0,2025-07-09,High,0.6662997481108311
PRIMA RASA BAKERY PASTRY,JL. KEMUNING NO.20,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Bakery,795,0,2.0,enriched_v1.0,2025-07-09,Medium,0.6538790931989923
FAT PHÓ • GANDAPURA,JL. GANDAPURA NO.75,bandung wetan,4.7,Rp 50.000 - 100.000,28848.0,3.44,8386.05,4.0,14.0,117.0,Very High (4.5-5.0),Restaurant,607,8,2.0,enriched_v1.0,2025-07-09,High,0.6656964735516372
AYAM BAKAR WONGSOLO BANDUNG,LLRE MARTADINATA ST NO.152,sumur bandung,4.4,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,242,8,2.0,enriched_v1.0,2025-07-09,Low,0.6021637279596977
SONOMA CAFE|RESTO (SONOMA GOLD),JL. LOMBOK NO.29,sumur bandung,4.5,Rp 100.000 - 200.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Cafe,160,1,2.0,enriched_v1.0,2025-07-09,Low,0.6171851385390428
JUSTUS STEAK HOUSE JAWA,JL. JAWA NO.50,sumur bandung,4.7,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Western Food,398,10,2.0,enriched_v1.0,2025-07-09,High,0.6593790931989925
STEAK HOTEL BY HOLYCOW! TKP BANDUNG,JL. ANGGREK NO.29,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Western Food,73,10,2.0,enriched_v1.0,2025-07-09,High,0.6670554156171283
FUEGO ROASTHOUSE & NORGE PARLOR,JL. BANDA NO.4,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,70,8,2.0,enriched_v1.0,2025-07-09,High,0.6669647355163727
TAMIKO BY TAMI YAKITORI,JL. ANGGREK NO.34,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,127,8,2.0,enriched_v1.0,2025-07-09,High,0.6686876574307304
NICHI IZAKAYA & DEN KAISEKI,JL. SUMBAWA NO.12,sumur bandung,4.9,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,114,8,2.0,enriched_v1.0,2025-07-09,High,0.6857947103274559
ROOTS RESTO & LOUNGE,JL. GUDANG SELATAN NO.22,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,315,8,2.0,enriched_v1.0,2025-07-09,Medium,0.6393702770780856
SOUTH GARDEN,JL. GUDANG SELATAN NO.88,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,33,8,2.0,enriched_v1.0,2025-07-09,High,0.6658463476070529
SUNDAY BOWL CEREAL CLUB,JL. KEMUNING NO.8,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,94,8,2.0,enriched_v1.0,2025-07-09,Medium,0.632690176322418
AYAKABE HOUSE OF WARAU,JL. GUDANG SELATAN,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,66,8,2.0,enriched_v1.0,2025-07-09,High,0.7018438287153652
VAN HENGEL CATERING,JL. BELITUNG NO.3,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,16,8,2.0,enriched_v1.0,2025-07-09,High,0.6653324937027707
SITE COFFEE BANDUNG,JL. KALIMANTAN NO.1,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,180,1,2.0,enriched_v1.0,2025-07-09,Medium,0.6352896725440805
DORI ID ASIA AFRIKA,JL. ASIA AFRIKA NO.129,sumur bandung,5.0,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,68,8,2.0,enriched_v1.0,2025-07-09,High,0.701904282115869
BEEF BULGOGI CHICKEN GALBI,"FOODLIFE TOSERBA YOGYA SUNDA, JL. SUNDA NO.60",sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Restaurant,489,8,2.0,enriched_v1.0,2025-07-09,Low,0.5746297229219143
ROEMAH LEGIT,JL. EMBONG NO.15,sumur bandung,4.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Restaurant,428,8,2.0,enriched_v1.0,2025-07-09,Medium,0.642785894206549
AYAM GEPREK REMPAH NARIPAN,JL. NARIPAN NO.34,sumur bandung,1.6,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Low (≤3.5),Restaurant,81,8,2.0,enriched_v1.0,2025-07-09,Low,0.1072972292191435
MEATSOLOGIST STEAK HALL,"THE HALLWAY SPACE, PS. KOSAMBI, JL. A. YANI LANTAI 2",sumur bandung,4.2,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Western Food,1021,10,2.0,enriched_v1.0,2025-07-09,Low,0.5907103274559193
28 KOPI,JL. VETERAN NO.28,sumur bandung,4.8,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,Very High (4.5-5.0),Cafe,80,1,2.0,enriched_v1.0,2025-07-09,High,0.6672670025188916
PIZZA RIVERSIDE,JL. VETERAN NO.37,sumur bandung,4.471320754716982,Rp 50.000 - 100.000,38323.0,3.49,10980.8,4.0,19.0,38.0,High (4.0-4.5),Fast Food,290,4,2.0,enriched_v1.0,2025-07-09,Low,0.6160957416472601
