nama,alamat,kecamatan,type,latitude,longitude,tahun,source_file,kecamatan_kepadatan,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²)
HAPPY GO LUCKY,JL. CILIWUNG NO. 14,Bandung Wetan,tourism_shopping,-6.90567882375141,107.62593099015048,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
GUDANG GARMENT TOHA,JL. MOH. TOHA NO. 106,Bandung Wetan,tourism_shopping,-6.971742343837079,107.61960208551908,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
KING KONG JEANS,JL. CIHAMPELAS NO. 166A,Coblong,tourism_shopping,-6.894632004165648,107.60412478177876,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
RABBANI,JL. DIPATIUKUR NO. 44,Coblong,tourism_shopping,-6.895818214015603,107.61694394065174,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
ALISHA FANCY SHOP,JL. SALENDRO UTARA NO. 27,Lengkong,tourism_shopping,-6.936511873128551,107.63428053515013,2021,cleaned_objek_wisata_belanja.csv,Lengkong,71000.0,5.91,12013.54
CROCS,JL. L. LÂ  R. R. MARTADINATA NO. 32,Bandung Wetan,tourism_shopping,-6.903002687983072,107.61621794145404,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
NS FACTORY OUTLET,JL. DEWI SARTIKA NO. 65,Regol,tourism_shopping,-6.924286488826419,107.60615434667044,2021,cleaned_objek_wisata_belanja.csv,Regol,80609.0,4.74,17006.12
STOP N SHOP FACTORY OUTLET,JL. INSINYUR H. JUANDA NO. 152,Bandung Wetan,tourism_shopping,-6.903005412818931,107.61029022630493,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
SHAFIRA BUAH BATU,JL. BUAH BATU NO. 165 B,Lengkong,tourism_shopping,-6.939793058374583,107.62586564773416,2021,cleaned_objek_wisata_belanja.csv,Lengkong,71000.0,5.91,12013.54
MR BEAN FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 57,Bandung Wetan,tourism_shopping,-6.905261017213382,107.6158859264125,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
CISANGKUY FACTORY OUTLET,JL. CISANGKUY NO. 58,Cibeunying Kaler,tourism_shopping,-6.901020930119488,107.62185007160436,2021,cleaned_objek_wisata_belanja.csv,Cibeunying Kaler,70662.0,4.64,15228.88
JETSET FACTORY OUTLET,JL. IR. H. JUANDA NO. 116,Coblong,tourism_shopping,-6.890029154120969,107.61352418187494,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
CALAMUS FACTORY OUTLET,JL. L. L. R. E. MARTADINATA NO. 81,Bandung Wetan,tourism_shopping,-6.904687710406517,107.62275614866572,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
TOKO DAPUR BUNDA - FACTORY OUTLET,JL. LODAYA NO. 55,Lengkong,tourism_shopping,-6.928306331488237,107.6211102060817,2021,cleaned_objek_wisata_belanja.csv,Lengkong,71000.0,5.91,12013.54
SPORT STATION TRUNOJOYO,JL. TRUNOJOYO NO.7,Bandung Wetan,tourism_shopping,-6.905101379773093,107.61331287974104,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
JOKOWOW FACTORY OUTLET,JL. CIHAMPELAS NO. 174,Sukajadi,tourism_shopping,-6.8778825618941815,107.59653232116888,2021,cleaned_objek_wisata_belanja.csv,Sukajadi,103066.0,5.28,19520.08
GRANDE FASHION & GALLERY,JL. CIHAMPELAS NO.186,Coblong,tourism_shopping,-6.892269287722978,107.60405740746457,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
CHERRY FACTORY OUTLET,JL. GEGERKALOOHILIR NO. 18,Sukajadi,tourism_shopping,-6.869472895818815,107.59261891349128,2021,cleaned_objek_wisata_belanja.csv,Sukajadi,103066.0,5.28,19520.08
MIKHAYLA KIDS FACTORY OUTLET BATUSANGKAR,JL. SOEKARNO HATTA NO. 2,Cibiru,tourism_shopping,-6.934082496732506,107.71877241786451,2021,cleaned_objek_wisata_belanja.csv,Cibiru,76236.0,6.84,11145.61
BARUNI BATIK GALLERY,JL. BUAH BATU NO.87,Lengkong,tourism_shopping,-6.933772489803377,107.6206051128925,2021,cleaned_objek_wisata_belanja.csv,Lengkong,71000.0,5.91,12013.54
CUCI GUDANG BARANG BRANDED,JL. TAMAN KOPO INDAH I,Bandung Wetan,tourism_shopping,-6.966701958020234,107.57331939325356,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
FOJBA FACTOR OUTLET,JL. TERUSAN KOPO,Bandung Wetan,tourism_shopping,-7.007884620293743,107.55094654543056,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
JULIEN BIG SIZE,JL. VETERAN NO. 17-B,Sumur Bandung,tourism_shopping,-6.917855446526907,107.61489750674072,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
THE SPORTS WAREHOUSE,JL. BRAGA NO. 91,Sumur Bandung,tourism_shopping,-6.916662612507113,107.6091038656638,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
BRAND REVOLUTION,JL. IR. H. JUANDA,Coblong,tourism_shopping,-6.891286723690143,107.61358912879248,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
BOOM STOCK,JL. CIHAMPELAS NO. 144,Coblong,tourism_shopping,-6.894536944826362,107.60403503222562,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
BANDUNG ORIGINAL MERCHANDISE,JL. CIHAMPLES NO. 210,Coblong,tourism_shopping,-6.889212373123292,107.604394396583,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
PERSIB MERCHANDISE STORE,JL. SULANJANA NO. 17,Coblong,tourism_shopping,-6.8981591543338645,107.61005918538048,2021,cleaned_objek_wisata_belanja.csv,Coblong,115273.0,7.31,15769.22
ELMEIRA HIJAB,JL. PROGO NO. 3,Bandung Wetan,tourism_shopping,-6.90249620083983,107.61705736316036,2021,cleaned_objek_wisata_belanja.csv,Bandung Wetan,28848.0,3.44,8386.05
TOKO TIGA,JL. JEND. AHMAD YANI,Sumur Bandung,tourism_shopping,-6.91954844923399,107.62110800602044,2021,cleaned_objek_wisata_belanja.csv,Sumur Bandung,38323.0,3.49,10980.8
TWIG HOUSE,JL. SUKAJADI NO. 127,Sukasari,tourism_shopping,-6.889809921568851,107.59668819521804,2021,cleaned_objek_wisata_belanja.csv,Sukasari,77576.0,6.36,12197.48
