Unnamed: 0,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah (km²),Kepadatan (jiwa/km²),place_id,google_rating,price_range_rupiah,business_status,processed_at
402,FUEGO ROASTHOUSE & NORGE PARLOR,JL. BANDA NO.4,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ59MnpTbnaC4R2oUQ35VSa8o,4.8,,OPERATIONAL,2025-06-28 21:24:14
403,TAMIKO BY TAMI YAKITORI,JL. ANGGREK NO.34,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJP1OiuR_naC4RmThQ0kAHOoI,4.8,,OPERATIONAL,2025-06-28 21:24:15
404,NICHI IZAKAYA & DEN KAISEKI,JL. SUMBAWA NO.12,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJgy34kl_naC4R6D6X2ExDWgU,4.9,,OPERATIONAL,2025-06-28 21:24:16
405,ROOTS RESTO & LOUNGE,JL. GUDANG SELATAN NO.22,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJJ2ExB1HnaC4RKiBh8pSpdM0,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:18
406,SOUTH GARDEN,JL. GUDANG SELATAN NO.88,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJtTLsDOPnaC4Ru7rB_E1baoU,4.8,,OPERATIONAL,2025-06-28 21:24:19
407,SUNDAY BOWL CEREAL CLUB,JL. KEMUNING NO.8,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJvxmipD7naC4RX3iv2Q0BDho,4.6,Rp 50.000 - 100.000,CLOSED_PERMANENTLY,2025-06-28 21:24:20
408,AYAKABE HOUSE OF WARAU,JL. GUDANG SELATAN,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJXbX2oSfnaC4RRXiXd8_pmY8,5,,OPERATIONAL,2025-06-28 21:24:21
409,VAN HENGEL CATERING,JL. BELITUNG NO.3,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJR7bAEDTmaC4RwDchXnkKecw,4.8,,OPERATIONAL,2025-06-28 21:24:22
410,SITE COFFEE BANDUNG,JL. KALIMANTAN NO.1,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ48Oaib_paC4RkjdW3Exboe0,4.6,,OPERATIONAL,2025-06-28 21:24:24
411,DORI ID ASIA AFRIKA,JL. ASIA AFRIKA NO.129,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJMb0qe7bnaC4RgNTuqO4JnOU,5,,CLOSED_PERMANENTLY,2025-06-28 21:24:25
412,BEEF BULGOGI CHICKEN GALBI,"FOODLIFE TOSERBA YOGYA SUNDA, JL. SUNDA NO.60",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJNwXyhS3maC4RXa-G75itV6w,4.2,,OPERATIONAL,2025-06-28 21:24:26
413,ROEMAH LEGIT,JL. EMBONG NO.15,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJt6BqNannaC4RA_s36fD8KLA,4.6,Rp 50.000 - 100.000,OPERATIONAL,2025-06-28 21:24:27
414,AYAM GEPREK REMPAH NARIPAN,JL. NARIPAN NO.34,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJcZvitaTnaC4RRYts4J8vOV4,1.6,,OPERATIONAL,2025-06-28 21:24:29
415,MEATSOLOGIST STEAK HALL,"THE HALLWAY SPACE, PS. KOSAMBI, JL. A. YANI LANTAI 2",sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ7U8SKR3naC4Rd7niJ9tOcOQ,4.2,,OPERATIONAL,2025-06-28 21:24:33
416,28 KOPI,JL. VETERAN NO.28,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJe8PrPS7maC4RlfM1iJWLFQ4,4.8,,OPERATIONAL,2025-06-28 21:24:34
417,PIZZA RIVERSIDE,JL. VETERAN NO.37,sumur bandung,restaurant,2024,data_fnb_bandung_with_kecamatan_api_cleaned.csv,,,,ChIJ6WC03i3maC4RghXdn5cZhBE,,,OPERATIONAL,2025-06-28 21:24:35
