,nama,alamat,kecamatan,type,tahun,source_file,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
138,GRUTTY SEPATU,JL. CIBADUYUT RAYA NO. 66,bojongloa kidul,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,87988.0,5.2,16920.77
139,TOKO DIANA,JL. CIBADUYUT RAYA NO. 134,bojongloa kidul,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,87988.0,5.2,16920.77
140,BATIK UNGGUL JAYA,JL. VETERAN NO. 42,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
141,TOKO SEIRA,JL. BARANANG SIANG NO. 75,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
142,SYMPHONIC/CRUNC/UNFOLDS/STORE,JL. DEWI SARTIKA NO.7A,regol,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,80609.0,4.74,17006.12
143,PLANET FASHION,JL. DEWI SARTIKA NO. 15,regol,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,80609.0,4.74,17006.12
144,MYV FASHION,JL. KOSAR NO. KAV 9,ujungberung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,90562.0,6.24,14513.14
145,MARYJANE STORE,JL. SULTAN TIRTAYASA NO.15,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
146,DAUKY FASHION HIJAB PASTEUR,JL. SUKARAJA ISTANA PASTTEUR REGENCY CRA49,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
147,TRIVIUM CLOTH,JL. LENGKONG BESAR NO. 81B,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
148,OUVAL RESEARCH BUAH BATU,JL. BUAH BATU NO. 64,lengkong,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,71000.0,5.91,12013.54
149,TOKO ISNA FAJAR,JL. OTTO ISKANDAR DINATA NO. 177,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
150,BAJUKU BANDUNG,JL. CIPAMUKOLAN NO. 58,rancasari,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,86725.0,7.01,12371.61
151,TOKO PRABU,JL. JENDERAL AHMAD YANINO. 124,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
152,KAOS POLOS BANDUNG / CEMARA CLOTHING,JL. CEMARA NO. 63,sukasari,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,77576.0,6.36,12197.48
153,GILDAN BANDUNG,JL. TM. CIBEUNYIN SEL,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
154,GUDANG JAM BANDUNG,JL. TERNATE NO. 29,bandung wetan,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,28848.0,3.44,8386.05
155,HURTZINEMEDIA STORE,JL. GUDANG SELATAN NO. 22A,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
156,POSHBRAIN STUDIO,JL. GUDANG SELATAN NO. 22,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
157,PABRIK-JEANS.COM,JL. GUDANG UTARA NO. 4,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
158,ZOYA,JL. RUMAH SAKIT NO. 131,cinambo,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,25585.0,4.25,6020.0
159,BEST CARE,JL. KEMUNING NO. 23,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
160,THE HALLWAY,KEBON PISANG SUMUR BANDUNG,sumur bandung,tourism_shopping,2021,cleaned_objek_wisata_belanja.csv,38323.0,3.49,10980.8
