nama,alamat,kecamatan,type,Jumlah Penduduk,Luas Wilayah,Kepadatan Jiwa
KENARI FABRIC OUTLET,JL. KENARI NO. 14,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
FACTORY OUTLET HILTON,JL. TERUSAN KOPO KM. 11 NO. 76,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
BARCELONA SPORT,JL. JEND AHMAD YANI NO. 69,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
GRUTTY SEPATU,JL. CIBADUYUT RAYA NO. 66,Bojongloa Kidul,tourism_shopping,87988.0,5.2,16920.77
TOKO DIANA,JL. CIBADUYUT RAYA NO. 134,Bojongloa Kidul,tourism_shopping,87988.0,5.2,16920.77
BATIK UNGGUL JAYA,JL. VETERAN NO. 42,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
TOKO SEIRA,JL. BARANANG SIANG NO. 75,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
SYMPHONIC/CRUNC/UNFOLDS/STORE,JL. DEWI SARTIKA NO.7A,Regol,tourism_shopping,80609.0,4.74,17006.12
PLANET FASHION,JL. DEWI SARTIKA NO. 15,Regol,tourism_shopping,80609.0,4.74,17006.12
MYV FASHION,JL. KOSAR NO. KAV 9,Ujungberung,tourism_shopping,90562.0,6.24,14513.14
MARYJANE STORE,JL. SULTAN TIRTAYASA NO.15,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
DAUKY FASHION HIJAB PASTEUR,JL. SUKARAJA ISTANA PASTTEUR REGENCY CRA49,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
TRIVIUM CLOTH,JL. LENGKONG BESAR NO. 81B,Lengkong,tourism_shopping,71000.0,5.91,12013.54
OUVAL RESEARCH BUAH BATU,JL. BUAH BATU NO. 64,Lengkong,tourism_shopping,71000.0,5.91,12013.54
TOKO ISNA FAJAR,JL. OTTO ISKANDAR DINATA NO. 177,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
BAJUKU BANDUNG,JL. CIPAMUKOLAN NO. 58,Rancasari,tourism_shopping,86725.0,7.01,12371.61
TOKO PRABU,JL. JENDERAL AHMAD YANINO. 124,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
KAOS POLOS BANDUNG / CEMARA CLOTHING,JL. CEMARA NO. 63,Sukasari,tourism_shopping,77576.0,6.36,12197.48
GILDAN BANDUNG,JL. TM. CIBEUNYIN SEL,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
GUDANG JAM BANDUNG,JL. TERNATE NO. 29,Bandung Wetan,tourism_shopping,28848.0,3.44,8386.05
HURTZINEMEDIA STORE,JL. GUDANG SELATAN NO. 22A,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
POSHBRAIN STUDIO,JL. GUDANG SELATAN NO. 22,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
PABRIK-JEANS.COM,JL. GUDANG UTARA NO. 4,Sumur Bandung,tourism_shopping,38323.0,3.49,10980.8
ZOYA,JL. RUMAH SAKIT NO. 131,Cinambo,tourism_shopping,25585.0,4.25,6020.0
