id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun
174,32,JAWA BARAT,3273,KOTA BANDUNG,THE VALLERY BISTRO CAFE,JL. LEMBAH PAKAR TIMUR NO.28 DAGO,2020
175,32,JAWA BARAT,3273,KOTA BANDUNG,KOPI SELASAR SUNARYO,JL. BUKIT PAKAR TIMUR NO.100,2020
176,32,JAWA BARAT,3273,KOTA BANDUNG,RUMAH JINGGA CAFE & RESTO,JL. CIKADUT NO.15,2020
177,32,JAWA BARAT,3273,KOTA BANDUNG,MAKA GALERY CAFE,JL. DAGO GIRI NO.168,2020
178,32,JAWA BARAT,3273,KOTA BANDUNG,THE PEOPLE'S CAFE PARIS VAN JAVA,JL. SUKAJADI NO.137-139,2020
179,32,JAWA BARAT,3273,KOTA BANDUNG,COFFEE TOFFEE BANDUNG SILIWIANGI,JL. SILIWANGI NO.14,2020
180,32,JAWA BARAT,3273,KOTA BANDUNG,MELANGER LES SPACE,JL. H. WASID NO. 5,2020
181,32,JAWA BARAT,3273,KOTA BANDUNG,BREWSPACE COFFEE & CREATIVE SPACE,JL. PRABU DIMUNTUR NO.22,2020
182,32,JAWA BARAT,3273,KOTA BANDUNG,OTILLIE COFFEE & KITCHEN,JL. HASANUDIN NO.7,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,ADD+ COFFEE,JL. DIPATI UKUR NO.40,2020
184,32,JAWA BARAT,3273,KOTA BANDUNG,PECAH KOPI,JL. CIGADUNG RAYA TIMUR NO.5,2020
185,32,JAWA BARAT,3273,KOTA BANDUNG,372 KOPI SETIABUDHI,JL. KARANGSARI NO.21,2020
186,32,JAWA BARAT,3273,KOTA BANDUNG,SAKLAR RUANG KOLABORASI,JL. SUPRATMAN,2020
187,32,JAWA BARAT,3273,KOTA BANDUNG,ROEMAH NENEK,JL. TM. CIBEUNYING SELATAN NO.47,2020
188,32,JAWA BARAT,3273,KOTA BANDUNG,BLACK BUTLER CAFE,JL. SUPRATMAN NO.37,2020
189,32,JAWA BARAT,3273,KOTA BANDUNG,B COFFEE & BURGERS,JL. SANINTEN NO.65,2020
190,32,JAWA BARAT,3273,KOTA BANDUNG,KOFFIE LUCKY,JL. CILIWUNG NO.17A,2020
191,32,JAWA BARAT,3273,KOTA BANDUNG,MUSAT,JL. CILAKI NO.45,2020
192,32,JAWA BARAT,3273,KOTA BANDUNG,LEN URBAN,JL. CIKUTRA NO 189,2020
193,32,JAWA BARAT,3273,KOTA BANDUNG,CLASSIC CAFE & RESTO,JL. NARIPAN NO.48,2020
194,32,JAWA BARAT,3273,KOTA BANDUNG,BRUSSELS SPRING,JL. VETERAN NO.5,2020
195,32,JAWA BARAT,3273,KOTA BANDUNG,172 EATERY,JL. ASIA AFRIKA NO. 172,2020
196,32,JAWA BARAT,3273,KOTA BANDUNG,BISCOE - BUSINESS COFFEE & EATERY,JL. PATUHA NO.16,2020
197,32,JAWA BARAT,3273,KOTA BANDUNG,EITITU RESTO & CAFE,JL. GANESA NO.10,2020
198,32,JAWA BARAT,3273,KOTA BANDUNG,DIDAGO CAFE,JL. IR. H. JUANDA NO.21,2020
199,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE 67,JL. DALEM KAUM NO.67,2020
200,32,JAWA BARAT,3273,KOTA BANDUNG,B10 CAFE BRAGA,JL. BRAGA NO.10,2020
201,32,JAWA BARAT,3273,KOTA BANDUNG,KOPI SOE ANTAPANI,JL. PURWAKARTA NO.97,2020
202,32,JAWA BARAT,3273,KOTA BANDUNG,KOPI RUANG HATI,JL. PURWAKARTA NO. 176,2020
203,32,JAWA BARAT,3273,KOTA BANDUNG,KANOKO,JL. DAGO ASRI 1 NO. 24,2020
204,32,JAWA BARAT,3273,KOTA BANDUNG,K-WOT CAFE,JL. SUKAAMAN I NO.15-21,2020
205,32,JAWA BARAT,3273,KOTA BANDUNG,VOLKS EETCAFE,JL. HALIMUN NO.36,2020
206,32,JAWA BARAT,3273,KOTA BANDUNG,LO.KA.SI COFFEE & SPACE,JL. IR. H. JUANDA NO.92,2020
207,32,JAWA BARAT,3273,KOTA BANDUNG,ADITI COFFEE HOUSE AND SPACE,JL. K. H. AHMAD DAHLAN NO. 5,2020
208,32,JAWA BARAT,3273,KOTA BANDUNG,KINOKIMI COFFEE,JL. BUAH BATU NO. 28,2020
209,32,JAWA BARAT,3273,KOTA BANDUNG,BODAS COFFEE,JL. TALAGA BODAS NO. 64,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,KANZ CAFE,JL. TERUSAN BOJONGSOANG NO.112,2020
211,32,JAWA BARAT,3273,KOTA BANDUNG,CUPOLA ID,JL. LAPANG SUPRATMAN NO.4,2020
212,32,JAWA BARAT,3273,KOTA BANDUNG,UPNORMAL COFFEE ROASTER,JL. L. L. R. E. MARTADINATA NO.158,2020
213,32,JAWA BARAT,3273,KOTA BANDUNG,150 COFFEE AND GARDEN,JL. SULAKSANA NO. 50,2020
214,32,JAWA BARAT,3273,KOTA BANDUNG,JADID COFFEE,JL. TERUSAN JAKARTA KAV 44 NO.368,2020
215,32,JAWA BARAT,3273,KOTA BANDUNG,CAFE 25 COFFEE & KITCHEN,JL. ARCAMANIK ENDAH NO.25,2020
216,32,JAWA BARAT,3273,KOTA BANDUNG,BEDA CERITA COFFEE,JL. JATIHANDAP NO.138,2020
217,32,JAWA BARAT,3273,KOTA BANDUNG,ARMENTI COFFEE HOUSE,JL. REOG NO. 6A,2020
218,32,JAWA BARAT,3273,KOTA BANDUNG,BAGI KOPI,JL. REOG NO.10,2020
219,32,JAWA BARAT,3273,KOTA BANDUNG,TRIDI COFFEE & EATERY,JL. R. A. A. MARTA NEGARA NO.40,2020
220,32,JAWA BARAT,3273,KOTA BANDUNG,KOPITERA,JL. KARAWITAN NO.85,2020
221,32,JAWA BARAT,3273,KOTA BANDUNG,KOPI JANJI JIWA KLININGAN,JL KLININGAN NO 201F,2020
222,32,JAWA BARAT,3273,KOTA BANDUNG,WARUGO CAFE,JL. CIJAGRA NO.14,2020
223,32,JAWA BARAT,3273,KOTA BANDUNG,MONELAB COFFEE,JL. BUAH BATU NO.235,2020
224,32,JAWA BARAT,3273,KOTA BANDUNG,MAKOU KOFFEE,JL. SITU PATENGGANG NO.6A,2020
225,32,JAWA BARAT,3273,KOTA BANDUNG,SIKLUS KOPI,JL. TERUSAN BUAH BATU NO.11B,2020
