id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_rumah_makan,alamat,tahun,kelurahan,kecamatan,latitude,longitude
8055,32,JAWA BARAT,3273,KOTA BANDUNG,DIMSUM SKUY BABAKAN SARI,JL. BABAKAN SARI NO.113,2024,,,,
8056,32,JAWA BARAT,3273,KOTA BANDUNG,DIMSUM MIMI,JL. H. KOMALASARI NO.2,2024,,,,
8057,32,JAWA BARAT,3273,KOTA BANDUNG,FAST FOOD RESTAURANT,"3JHX+Q32, JL. DESA",2024,,,,
8058,32,JAWA BARAT,3273,KOTA BANDUNG,DR ELLS COFFEE,JL. PURWAKARTA NO.116,2024,,,,
8059,32,JAWA BARAT,3273,KOTA BANDUNG,WOKI RESTO,"JL. TERUSAN JAKARTA NO.32A, RW.07",2024,,,,
8060,32,JAWA BARAT,3273,KOTA BANDUNG,SUGIH PRIANGAN RESTAURANT,JL. TERUSAN JAKARTA NO.48,2024,Cicaheum,,-6.9129102,107.6494396
8061,32,JAWA BARAT,3273,KOTA BANDUNG,DJAROT' N TEAM,JL. ATLAS V NO.34D,2024,,,,
8062,32,JAWA BARAT,3273,KOTA BANDUNG,RIEFA CATERING & DECORATION,JL. TERUSAN JAKARTA NO.21,2024,Cicaheum,,-6.9129102,107.6494396
8063,32,JAWA BARAT,3273,KOTA BANDUNG,ZULFA CATERING & BAKERY,JL. ATLAS TENGAH NO.4,2024,,,,
8064,32,JAWA BARAT,3273,KOTA BANDUNG,HN CATERING,JL. SOMA I NO.1,2024,,,,
8065,32,JAWA BARAT,3273,KOTA BANDUNG,POINT COFFEE,JL. TERUSAN JAKARTA,2024,Cicaheum,,-6.9129102,107.6494396
8066,32,JAWA BARAT,3273,KOTA BANDUNG,MINIFOOD.BDG,JL. HANTAP RAYA NO.93,2024,,,,
8067,32,JAWA BARAT,3273,KOTA BANDUNG,PECEL LELE SOEGIH KIARACONDONG,JL. IBRAHIM ADJIE NO.69,2024,,,,
8068,32,JAWA BARAT,3273,KOTA BANDUNG,GALLERIA FURNITURE,JL. A. YANI NO.598 - 600,2024,,,,
8069,32,JAWA BARAT,3273,KOTA BANDUNG,A&W RESTORAN - LUCKY SQUARE,"LUCKY SQUARE, JL. TERUSAN JAKARTA NO.2",2024,,,,
8070,32,JAWA BARAT,3273,KOTA BANDUNG,CHICKEN CHICK,JL. SETRAWANGI 6A NO.32,2024,,,,
8071,32,JAWA BARAT,3273,KOTA BANDUNG,ALBARI FRIED CHICKEN & GEPREK CABANG GG. SLAMET II,"KIOS KE - 6, GG. SELAMET II NO.1",2024,,,,
8072,32,JAWA BARAT,3273,KOTA BANDUNG,ANDI BURGER,GG. MASJID III NO.113,2024,,,,
8073,32,JAWA BARAT,3273,KOTA BANDUNG,YONOBURGER,GG. MASJID III NO.50,2024,,,,
8074,32,JAWA BARAT,3273,KOTA BANDUNG,DUNIA BURGER,JL. TERUSAN JAKARTA NO.3,2024,,,,
