kecamatan,nama_taman,luas
COBLONG,TAMAN PUSKESMAS KEBONLEGA,800
COBLONG,TAMAN DAYANG SUMBI/TAMANSARI,754.6
COBLONG,TAMAN BAPAK HUSEN,639
COBLONG,TAMAN DIPATIUKUR,556.5
COBLONG,TAMAN KELUARGA BERENCANA,410
COBLONG,TAMAN PULAU JALAN PASUPATI,384
COBLONG,TAMAN CIHAMPELAS/SETIABUDI (KEL. SEJAHTERA),365
COBLONG,BAK BUNGA JALAN PASUPATI,350
COBLONG,TM. PULAU JL. TAMANSARI-SUMUR BANDUNG,244.74
COBLONG,TAMAN SILIWANGI/SUMUR BANDUNG,185.5
COBLONG,JALUR SILIWANGI,150.12
COBLONG,BAK BUNGA BBK. SILIWANGI,134.6
COBLONG,TAMAN TUBAGUS ISMAIL,86
COBLONG,TAMAN SILIWANGI,81
COBLONG,TAMAN SILIWANGI/SANGKURIANG,59.4
COBLONG,TAMAN PERUMNAS,45
COBLONG,TAMAN JALUR GELAP NYAWANG,44
COBLONG,TAMAN PULAU JALAN TAMANSARI,36
COBLONG,BAK BUNGA POT SIMPANG,34
COBLONG,TAMAN PULAU JALAN IR. H. DJUANDA,32
KIARACONDONG,JALUR TERUSAN JL. KIARACONDONG,3790.5
KIARACONDONG,TAMAN 5,1863.78
KIARACONDONG,TAMAN DAN LAPANGAN TENIS,1313.78
KIARACONDONG,TAMAN BELAKANG,886.34
KIARACONDONG,TAMAN DEPAN (GSB KIRI DAN GSB KANAN),239.25
KIARACONDONG,JALUR HIJAU BUNDARAN BOULEVARD I,154.5
KIARACONDONG,JALUR HIJAU KOMPLEK RUKO,123.12
KIARACONDONG,JALUR HIJAU BUNDERAN RUKO,84.92
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 3,58.51
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 2,58.5
KIARACONDONG,TAMAN 2,58.17
KIARACONDONG,TAMAN 1,56.17
KIARACONDONG,TAMAN 3,54.4
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 1,48.8
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 4,32.9
KIARACONDONG,TAMAN 4,23.87
KIARACONDONG,JALUR HIJAU TAMAN BOULEVARD 5,18.99
LENGKONG,TAMAN HALAMAN PENDOPO,11000
LENGKONG,TAMAN MALABAR,5007.68
LENGKONG,TAMAN KANGKUNG KIDUL/KALER,4848
LENGKONG,TAMAN LAPANGAN LEMBU,3412
LENGKONG,JALUR HIJAU PELAJAR PEJUANG '45,3410
LENGKONG,TAMAN PALASARI/MALABAR,2784
LENGKONG,LAPANG SARON,2350
LENGKONG,TAMAN SRIGALA,2336
LENGKONG,TAMAN LAPANGAN KIDANG DALAM,2240
LENGKONG,JALUR HIJAU LASWI,2240
LENGKONG,TAMAN BURANGRANG BPI,1734
LENGKONG,TAMAN SIMPHONY,1733.7
LENGKONG,TAMAN NILEM,1725
LENGKONG,TAMAN MACAN,1712
